"","Latitude","Longitude","Country","Count","GS","GSper","Custper","Ratio"
"1",41.651639,9.115672,"FR",1,620.398,0.02,0.04,0.55
"2",42.007233,9.367728,"FR",2,3319.5935,0.12,0.08,1.46
"3",42.07557,9.323493,"FR",1,605.4362,0.02,0.04,0.53
"4",42.261669,9.151842,"FR",3,3087.7731,0.11,0.12,0.91
"5",42.264942,9.502021,"FR",1,3463.3166,0.12,0.04,3.05
"6",42.42435,9.447555,"FR",1,1784.2119,0.06,0.04,1.57
"7",42.476429,9.425037,"FR",1,229.6463,0.01,0.04,0.2
"8",42.522119,2.065188,"FR",1,1737.8964,0.06,0.04,1.53
"9",42.656841,2.949204,"FR",1,1778.4991,0.06,0.04,1.56
"10",42.684128,3.011617,"FR",1,521.3756,0.02,0.04,0.46
"11",42.686476,9.425021,"FR",1,3856.056,0.13,0.04,3.39
"12",42.696595,2.899369,"FR",7,4253.2003,0.15,0.28,0.53
"13",42.705784,2.820665,"FR",1,2730.2365,0.09,0.04,2.4
"14",42.72625,3.017081,"FR",1,86.2948,0,0.04,0.08
"15",42.768061,2.565126,"FR",1,222.2581,0.01,0.04,0.2
"16",42.806945,2.973671,"FR",1,310.1063,0.01,0.04,0.27
"17",42.880062,2.858051,"FR",1,229.6463,0.01,0.04,0.2
"18",42.909707,1.900523,"FR",1,9736.828,0.34,0.04,8.56
"19",42.943884,1.098528,"FR",1,434.4586,0.02,0.04,0.38
"20",42.94797,2.297132,"FR",1,310.3543,0.01,0.04,0.27
"21",42.959223,0.726939,"FR",1,495.9213,0.02,0.04,0.44
"22",42.959366,1.353878,"FR",1,279.3124,0.01,0.04,0.25
"23",42.962255,-0.074947,"FR",1,124.1043,0,0.04,0.11
"24",43.044988,2.136724,"FR",1,552.1068,0.02,0.04,0.49
"25",43.057009,2.743993,"FR",1,2327.502,0.08,0.04,2.05
"26",43.086818,5.829244,"FR",1,8989.1616,0.31,0.04,7.91
"27",43.088029,5.870898,"FR",4,3602.8783,0.12,0.16,0.79
"28",43.097194,6.071737,"FR",1,993.0852,0.03,0.04,0.87
"29",43.099405,6.02844,"FR",1,518.2085,0.02,0.04,0.46
"30",43.117641,2.977181,"FR",1,850.0443,0.03,0.04,0.75
"31",43.126327,6.018981,"FR",1,1580.0809,0.05,0.04,1.39
"32",43.13076,1.694163,"FR",3,1573.9973,0.05,0.12,0.46
"33",43.133023,-0.054658,"FR",3,2513.5051,0.09,0.12,0.74
"34",43.136158,5.932396,"FR",5,3043.9423,0.11,0.2,0.54
"35",43.138282,5.795888,"FR",1,260.6256,0.01,0.04,0.23
"36",43.138613,5.853692,"FR",3,3841.0917,0.13,0.12,1.13
"37",43.138666,0.02001,"FR",1,310.3543,0.01,0.04,0.27
"38",43.140184,1.715146,"FR",1,4077.8173,0.14,0.04,3.59
"39",43.144627,0.374575,"FR",1,651.066,0.02,0.04,0.57
"40",43.147354,5.747893,"FR",1,232.4392,0.01,0.04,0.2
"41",43.149915,5.992225,"FR",1,194.8785,0.01,0.04,0.17
"42",43.153922,-0.629327,"FR",1,434.4586,0.02,0.04,0.38
"43",43.162272,6.349569,"FR",1,217.1676,0.01,0.04,0.19
"44",43.16352,6.092683,"FR",1,248.2713,0.01,0.04,0.22
"45",43.168921,6.242851,"FR",1,2295.6543,0.08,0.04,2.02
"46",43.168983,2.33479,"FR",1,508.8969,0.02,0.04,0.45
"47",43.172035,5.708326,"FR",1,781.815,0.03,0.04,0.69
"48",43.176353,0.960371,"FR",1,496.4174,0.02,0.04,0.44
"49",43.181905,6.521217,"FR",1,439.9835,0.02,0.04,0.39
"50",43.182936,-0.150153,"FR",1,186.1874,0.01,0.04,0.16
"51",43.183161,-1.263015,"FR",1,1377.9386,0.05,0.04,1.21
"52",43.190761,6.063276,"FR",1,2532.813,0.09,0.04,2.23
"53",43.209379,2.343988,"FR",2,1471.0018,0.05,0.08,0.65
"54",43.223047,5.551178,"FR",2,2122.1928,0.07,0.08,0.93
"55",43.228517,-0.308318,"FR",1,325.9375,0.01,0.04,0.29
"56",43.234083,5.452496,"FR",4,4710.8175,0.16,0.16,1.04
"57",43.234785,0.066009,"FR",2,1154.4385,0.04,0.08,0.51
"58",43.237704,1.923431,"FR",1,242.125,0.01,0.04,0.21
"59",43.241727,5.374644,"FR",3,1449.2723,0.05,0.12,0.42
"60",43.246455,6.521922,"FR",2,1129.6665,0.04,0.08,0.5
"61",43.251374,2.313154,"FR",2,1203.7321,0.04,0.08,0.53
"62",43.254049,0.135324,"FR",1,1535.5054,0.05,0.04,1.35
"63",43.275515,5.426811,"FR",2,1681.1531,0.06,0.08,0.74
"64",43.288447,5.483814,"FR",2,2693.9194,0.09,0.08,1.18
"65",43.292806,5.397577,"FR",2,682.8543,0.02,0.08,0.3
"66",43.293484,5.563312,"FR",1,310.2926,0.01,0.04,0.27
"67",43.296231,-1.586529,"FR",1,1561.3941,0.05,0.04,1.37
"68",43.296883,6.254429,"FR",1,234.5498,0.01,0.04,0.21
"69",43.2999,5.382278,"FR",1,589.1706,0.02,0.04,0.52
"70",43.307677,2.830594,"FR",2,434.4586,0.02,0.08,0.19
"71",43.307768,5.439915,"FR",2,1315.6686,0.05,0.08,0.58
"72",43.312696,5.363649,"FR",2,570.9791,0.02,0.08,0.25
"73",43.320018,-0.350337,"FR",1,837.8762,0.03,0.04,0.74
"74",43.32201,2.356603,"FR",2,719.9791,0.02,0.08,0.32
"75",43.335369,2.906236,"FR",2,871.96,0.03,0.08,0.38
"76",43.336639,6.091414,"FR",1,362.9387,0.01,0.04,0.32
"77",43.339947,6.177749,"FR",1,930.8769,0.03,0.04,0.82
"78",43.341196,1.161965,"FR",1,2184.6494,0.08,0.04,1.92
"79",43.345669,5.117655,"FR",1,862.2124,0.03,0.04,0.76
"80",43.347588,3.230767,"FR",4,1817.0528,0.06,0.16,0.4
"81",43.349278,5.433722,"FR",2,414.1574,0.01,0.08,0.18
"82",43.360577,3.547189,"FR",1,496.5426,0.02,0.04,0.44
"83",43.360794,5.65839,"FR",1,279.2506,0.01,0.04,0.25
"84",43.364905,5.313378,"FR",1,266.5856,0.01,0.04,0.23
"85",43.372512,6.121284,"FR",1,2284.5426,0.08,0.04,2.01
"86",43.374989,-1.661337,"FR",2,1085.8995,0.04,0.08,0.48
"87",43.375852,0.501831,"FR",1,1308.2794,0.05,0.04,1.15
"88",43.37753,5.718208,"FR",1,1461.9365,0.05,0.04,1.29
"89",43.379892,5.049454,"FR",1,6329.9485,0.22,0.04,5.57
"90",43.382486,3.172704,"FR",2,1303.0653,0.05,0.08,0.57
"91",43.390507,5.228347,"FR",1,248.085,0.01,0.04,0.22
"92",43.39177,3.647051,"FR",4,5926.1454,0.21,0.16,1.3
"93",43.394196,5.532233,"FR",1,396.898,0.01,0.04,0.35
"94",43.402679,5.31547,"FR",1,682.4819,0.02,0.04,0.6
"95",43.408563,0.020435,"FR",1,310.3543,0.01,0.04,0.27
"96",43.416979,-0.558512,"FR",1,713.7719,0.02,0.04,0.63
"97",43.421628,-1.610354,"FR",1,238.8962,0.01,0.04,0.21
"98",43.423351,4.992663,"FR",2,2217.9224,0.08,0.08,0.98
"99",43.428509,6.652128,"FR",1,465.5006,0.02,0.04,0.41
"100",43.429024,1.594394,"FR",3,6543.5139,0.23,0.12,1.92
"101",43.429298,3.577745,"FR",5,6470.1328,0.22,0.2,1.14
"102",43.437808,5.699952,"FR",1,620.7713,0.02,0.04,0.55
"103",43.440889,2.963532,"FR",1,1055.2299,0.04,0.04,0.93
"104",43.442123,-1.447668,"FR",1,744.6894,0.03,0.04,0.65
"105",43.442612,3.37325,"FR",1,210.9586,0.01,0.04,0.19
"106",43.449783,5.263577,"FR",2,1371.7932,0.05,0.08,0.6
"107",43.450769,3.274959,"FR",2,1246.1347,0.04,0.08,0.55
"108",43.452187,-0.228595,"FR",2,3779.5068,0.13,0.08,1.66
"109",43.452606,5.479638,"FR",1,1241.1702,0.04,0.04,1.09
"110",43.455402,5.014947,"FR",1,2313.098,0.08,0.04,2.03
